pos;nr;name;team;brand;model;drivernum;drivername;pit_reason;time_pit_in;pitcount;time_pit_out;lapnumber;time_of_day (lap end);racetime;laptime;sector_1_time;sector_2_time;sector_3_time;Sector 3;Sector 4
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;1;13:04:53.141;00:04:52.565;4:13.548;1:30.364;1:34.820;1:08.364;77.7;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;2;13:08:43.386;00:08:42.810;3:50.245;1:14.492;1:26.338;1:09.415;65.45;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;3;13:12:53.288;00:12:52.712;4:09.902;1:15.774;1:36.480;1:17.648;60.9;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;4;13:17:07.668;00:17:07.092;4:14.380;1:15.832;1:37.029;1:21.519;83.29;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;5;13:21:25.923;00:21:25.347;4:18.255;1:22.417;1:37.773;1:18.065;72.81;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;6;13:25:25.589;00:25:25.013;3:59.666;1:12.616;1:36.385;1:10.665;67.64;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;7;13:29:30.065;00:29:29.489;4:04.476;1:16.207;1:35.157;1:13.112;69.38;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;8;13:33:38.360;00:33:37.784;4:08.295;1:17.479;1:30.270;1:20.546;79.8;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;9;13:37:43.862;00:37:43.286;4:05.502;1:20.607;1:33.755;1:11.140;69.83;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;10;13:41:43.361;00:41:42.785;3:59.499;1:15.752;1:32.016;1:11.731;75.7;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;11;13:45:40.463;00:45:39.887;3:57.102;1:16.111;1:31.770;1:09.221;86.63;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;12;13:49:35.067;00:49:34.491;3:54.604;1:12.613;1:33.605;1:08.386;63.91;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;13;13:53:36.751;00:53:36.175;4:01.684;1:13.048;1:31.201;1:17.435;64.41;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;14;13:57:43.581;00:57:43.005;4:06.830;1:12.385;1:33.071;1:21.374;65.06;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;15;14:01:49.168;01:01:48.592;4:05.587;1:22.628;1:34.850;1:08.109;67.78;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;16;14:05:47.012;01:05:46.436;3:57.844;1:18.197;1:29.908;1:09.739;65.59;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;17;14:09:46.591;01:09:46.015;3:59.579;1:13.989;1:31.762;1:13.828;67.78;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;18;14:13:44.010;01:13:43.434;3:57.419;1:13.481;1:31.105;1:12.833;65.45;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;19;14:17:46.394;01:17:45.818;4:02.384;1:14.971;1:35.542;1:11.871;64.16;
