,pos,nr,name,team,brand,model,drivernum,drivername,pit_reason,time_pit_in,pitcount,time_pit_out,lapnumber,time_of_day (lap end),racetime,laptime,sector_1_time,sector_2_time,sector_3_time,Sector 3,Sector 4,ms_laptime,ms_racetime,energy_used,driver_color
0,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,1,13:04:53.141,00:04:52.565,4:13.548,1:30.364,1:34.820,1:08.364,77.7,,253548.0,292565.0,-77.96777026166667,orange
1,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,2,13:08:43.386,00:08:42.810,3:50.245,1:14.492,1:26.338,1:09.415,65.45,,230245.0,522810.0,-63.07837577750001,orange
2,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,3,13:12:53.288,00:12:52.712,4:09.902,1:15.774,1:36.480,1:17.648,60.9,,249902.0,772712.0,-57.20974267666667,orange
3,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,4,13:17:07.668,00:17:07.092,4:14.380,1:15.832,1:37.029,1:21.519,83.29,,254380.0,1027092.0,-58.73501713666667,orange
4,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,5,13:21:25.923,00:21:25.347,4:18.255,1:22.417,1:37.773,1:18.065,72.81,,258255.0,1285347.0,-65.36530153166667,orange
5,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,6,13:25:25.589,00:25:25.013,3:59.666,1:12.616,1:36.385,1:10.665,67.64,,239666.0,1525013.0,-59.23901933333334,orange
6,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,7,13:29:30.065,00:29:29.489,4:04.476,1:16.207,1:35.157,1:13.112,69.38,,244476.0,1769489.0,-53.49809496416667,orange
7,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,8,13:33:38.360,00:33:37.784,4:08.295,1:17.479,1:30.270,1:20.546,79.8,,248295.0,2017784.0,-57.09282031916667,orange
8,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,9,13:37:43.862,00:37:43.286,4:05.502,1:20.607,1:33.755,1:11.140,69.83,,245502.0,2263286.0,-57.518703981666675,orange
9,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,10,13:41:43.361,00:41:42.785,3:59.499,1:15.752,1:32.016,1:11.731,75.7,,239499.0,2502785.0,-58.97471886666667,orange
10,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,11,13:45:40.463,00:45:39.887,3:57.102,1:16.111,1:31.770,1:09.221,86.63,,237102.0,2739887.0,-55.50006002333334,orange
11,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,12,13:49:35.067,00:49:34.491,3:54.604,1:12.613,1:33.605,1:08.386,63.91,,234604.0,2974491.0,-67.95808153583334,orange
12,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,13,13:53:36.751,00:53:36.175,4:01.684,1:13.048,1:31.201,1:17.435,64.41,,241684.0,3216175.0,-56.839457413333335,orange
13,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,14,13:57:43.581,00:57:43.005,4:06.830,1:12.385,1:33.071,1:21.374,65.06,,246830.0,3463005.0,-58.79039839833334,orange
14,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,15,14:01:49.168,01:01:48.592,4:05.587,1:22.628,1:34.850,1:08.109,67.78,,245587.0,3708592.0,-52.691880633333334,orange
15,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,16,14:05:47.012,01:05:46.436,3:57.844,1:18.197,1:29.908,1:09.739,65.59,,237844.0,3946436.0,-62.942586395,orange
16,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,17,14:09:46.591,01:09:46.015,3:59.579,1:13.989,1:31.762,1:13.828,67.78,,239579.0,4186015.0,-63.19217267166667,orange
17,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,18,14:13:44.010,01:13:43.434,3:57.419,1:13.481,1:31.105,1:12.833,65.45,,237419.0,4423434.0,-62.74453129166667,orange
18,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,19,14:17:46.394,01:17:45.818,4:02.384,1:14.971,1:35.542,1:11.871,64.16,,242384.0,4665818.0,-63.042184081666676,orange
19,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,20,14:21:52.522,01:21:51.946,4:06.128,1:18.767,1:32.657,1:14.704,67.92,,246128.0,4911946.0,-55.567811230833335,orange
20,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,21,14:26:23.592,01:26:23.016,4:31.070,1:24.049,1:45.261,1:21.760,76.06,,271070.0,5183016.0,-49.145813976666666,orange
21,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,22,14:30:43.713,01:30:43.137,4:20.121,1:16.363,1:42.989,1:20.769,69.23,,260121.0,5443137.0,-49.76093318833333,orange
22,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,23,14:34:41.167,01:34:40.591,3:57.454,1:16.001,1:30.316,1:11.137,70.13,,237454.0,5680591.0,-62.15126848083334,orange
23,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,24,14:38:34.380,01:38:33.804,3:53.213,1:13.487,1:27.278,1:12.448,72.81,,233213.0,5913804.0,-61.35301045416667,orange
24,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,25,14:42:26.554,01:42:25.978,3:52.174,1:13.391,1:29.775,1:09.008,72.65,,232174.0,6145978.0,-71.73561219333334,orange
25,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,26,14:46:20.835,01:46:20.259,3:54.281,1:11.686,1:28.084,1:14.511,77.33,,234281.0,6380259.0,-64.8097887225,orange
26,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,27,14:49:56.318,01:49:55.742,3:35.483,1:09.406,1:22.534,1:03.543,65.32,,215483.0,6595742.0,-63.93569025833334,orange
27,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,28,14:53:52.211,01:53:51.635,3:55.893,1:09.600,1:32.681,1:13.612,57.96,,235893.0,6831635.0,-57.8634783675,orange
28,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,29,14:58:03.066,01:58:02.490,4:10.855,1:17.868,1:39.166,1:13.821,60.56,,250855.0,7082490.0,-55.03299152666667,orange
29,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,30,15:02:19.086,02:02:18.510,4:16.020,1:22.638,1:37.905,1:15.477,61.6,,256020.0,7338510.0,-54.860560705000005,orange
30,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,31,15:06:27.513,02:06:26.937,4:08.427,1:21.894,1:33.355,1:13.178,,,248427.0,7586937.0,-54.3348450025,orange
31,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,Driver Change,15:10:45,1.0,,32,15:11:05.634,02:11:05.058,4:38.121,1:19.575,1:36.140,,64.29,,278121.0,7865058.0,-41.595413193333336,orange
32,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,15:16:57,33,15:21:17.322,02:21:16.746,10:11.688,,1:40.606,1:19.227,61.6,,611688.0,8476746.0,-69.1453747825,blue
33,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,34,15:25:37.730,02:25:37.154,4:20.408,1:18.061,1:40.876,1:21.471,62.55,,260408.0,8737154.0,-45.84939420083334,blue
34,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,35,15:29:51.945,02:29:51.369,4:14.215,1:12.827,1:38.430,1:22.958,63.28,,254215.0,8991369.0,-49.92471013333334,blue
35,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,36,15:34:13.831,02:34:13.255,4:21.886,1:20.286,1:41.165,1:20.435,60.67,,261886.0,9253255.0,-48.56002465000001,blue
36,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,37,15:38:23.690,02:38:23.114,4:09.859,1:15.721,1:37.405,1:16.733,58.91,,249859.0,9503114.0,-58.63240394583334,blue
37,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,38,15:42:30.087,02:42:29.511,4:06.397,1:17.870,1:32.983,1:15.544,61.83,,246397.0,9749511.0,-57.140850115000006,blue
38,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,39,15:46:32.403,02:46:31.827,4:02.316,1:20.595,1:29.337,1:12.384,69.98,,242316.0,9991827.0,-51.91879838166667,blue
39,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,40,15:50:43.316,02:50:42.740,4:10.913,1:22.563,1:35.064,1:13.286,56.35,,250913.0,10242740.0,-59.229341332500006,blue
40,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,41,15:54:46.706,02:54:46.130,4:03.390,1:14.957,1:32.918,1:15.515,66.53,,243390.0,10486130.0,-55.541440532500005,blue
41,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,42,15:58:54.898,02:58:54.322,4:08.192,1:15.882,1:31.945,1:20.365,57.35,,248192.0,10734322.0,-58.4866593225,blue
42,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,43,16:03:10.541,03:03:09.965,4:15.643,1:19.370,1:35.903,1:20.370,55.29,,255643.0,10989965.0,-52.33818276833334,blue
43,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,44,16:07:38.879,03:07:38.303,4:28.338,1:22.753,1:45.735,1:19.850,66.39,,268338.0,11258303.0,-44.2528485475,blue
44,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,45,16:11:59.835,03:11:59.259,4:20.956,1:23.307,1:41.203,1:16.446,66.53,,260956.0,11519259.0,-50.913220135833335,blue
45,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,46,16:16:28.288,03:16:27.712,4:28.453,1:21.423,1:42.999,1:24.031,60.56,,268453.0,11787712.0,-47.305418815833335,blue
46,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,47,16:20:40.506,03:20:39.930,4:12.218,1:18.587,1:41.601,1:12.030,60.22,,252218.0,12039930.0,-55.21170962,blue
47,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,48,16:24:52.598,03:24:52.022,4:12.092,1:17.580,1:36.138,1:18.374,62.67,,252092.0,12292022.0,-51.633160250833335,blue
48,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,49,16:28:56.567,03:28:55.991,4:03.969,1:15.570,1:33.998,1:14.401,60.67,,243969.0,12535991.0,-50.72766658416667,blue
49,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,50,16:33:03.511,03:33:02.935,4:06.944,1:18.518,1:34.039,1:14.387,60.11,,246944.0,12782935.0,-55.69114138333333,blue
