,DateTimeStamp,uptime,LifeSign,msg,potentiomenter,speed,acceleration,deceleration,accelerationDisplay,batteryVoltage,batteryCurrent,batteryErrors,batteryPrechargeState,pvOn,pvCurrent,motorOn,motorCurrent,mppt1Current,mppt2Current,mppt3Current,voltageMin,voltageAvg,voltageMax,T1,T2,T3,Tmin,Tmax,driveDirection,constantMode,displayStatus,targetSpeed,Kp,Ki,Kd,targetPower,engineerInfo,driverInfo,speedArrow,ms_racetime,energy_used,pv_energy,lapnumber
23077,2024-09-21T13:04:55,00:45:47,2551,log,4527,0,0,0,0,116.181,-0.005,[7],RUN,0,0.011,1,0.0,0.011,0,0,4.156,4.149,4.181,30.604,0,0,24.3,25.7,fwd,SPEED,DRIVER_RUNNING,0,33,13,3,0.0,EngInf :  #Log to SD card  #Log to SD card ,DrvInf INFO: ok. <OK>,OFF,0.0,-0.00154908,0.0010649925,1
23078,2024-09-21T13:04:58,00:45:50,2554,log,4527,0,0,0,0,116.181,-0.003,[7],RUN,0,0.011,1,0.0,0.011,0,0,4.156,4.149,4.181,30.609,0,0,24.3,25.7,fwd,SPEED,DRIVER_RUNNING,0,33,13,3,0.0,EngInf :  #Log to SD card  #Log to SD card  #Log to SD card ,DrvInf INFO: ok. <OK>,OFF,3000.0,-0.001355445,0.0010649925,1
23079,2024-09-21T13:05:01,00:45:53,2556,log,4527,0,0,0,0,116.181,-0.018,[7],RUN,0,0.009,1,0.0,0.009,0,0,4.156,4.149,4.181,30.609,0,0,24.3,25.7,fwd,SPEED,DRIVER_RUNNING,0,33,13,3,0.0,EngInf : ,DrvInf INFO: ok. <OK>,OFF,6000.0,-0.0026140725,0.0008713575,1
23080,2024-09-21T13:05:04,00:45:56,2559,log,4524,0,0,0,0,116.181,0.015,[7],RUN,0,0.009,1,0.0,0.009,0,0,4.156,4.149,4.181,30.612,0,0,24.4,25.7,fwd,SPEED,DRIVER_RUNNING,0,33,13,3,0.0,EngInf :  #Log to SD card ,DrvInf INFO: ok. <OK>,OFF,9000.0,0.0005809049999999999,0.0008713575,1
23081,2024-09-21T13:05:07,00:45:59,2562,log,4525,0,0,0,0,116.181,-0.004,[7],RUN,0,0.009,1,0.0,0.009,0,0,4.156,4.149,4.181,30.612,0,0,24.4,25.8,fwd,SPEED,DRIVER_RUNNING,0,33,13,3,0.0,EngInf :  #Log to SD card  #Log to SD card ,DrvInf INFO: ok. <OK>,OFF,12000.0,-0.0012586275,0.0008713575,1
23082,2024-09-21T13:05:10,00:46:02,2565,log,4525,0,0,0,0,116.181,-0.006,[7],RUN,0,0.011,1,0.0,0.011,0,0,4.156,4.149,4.181,30.643,0,0,24.4,25.7,fwd,SPEED,DRIVER_RUNNING,0,33,13,3,0.0,EngInf :  #Log to SD card  #Log to SD card  #Log to SD card ,DrvInf INFO: ok. <OK>,OFF,15000.0,-0.0016458975,0.0010649925,1
23083,2024-09-21T13:05:13,00:46:05,2568,log,4527,1,0,250,-1,116.181,-0.005,[7],RUN,0,0.011,1,0.0,0.011,0,0,4.156,4.149,4.181,30.643,0,0,24.4,25.7,fwd,SPEED,DRIVER_RUNNING,0,33,13,3,0.0,EngInf : ,DrvInf INFO: ok. <OK>,OFF,18000.0,-0.00154908,0.0010649925,1
23084,2024-09-21T13:05:16,00:46:08,2571,log,4526,3,0,0,0,116.181,-0.004,[7],RUN,0,0.009,1,0.0,0.009,0,0,4.152,4.149,4.179,30.65,0,0,24.5,25.7,fwd,SPEED,DRIVER_RUNNING,0,33,13,3,0.0,EngInf :  #Log to SD card ,DrvInf INFO: ok. <OK>,OFF,21000.0,-0.0012586275,0.0008713575,1
23085,2024-09-21T13:05:19,00:46:11,2574,log,4526,7,0,197,-1,116.181,-7.308,[7],RUN,0,0.009,1,2585.6,0.009,0,0,4.15,4.149,4.177,30.65,0,0,24.4,25.7,fwd,SPEED,DRIVER_RUNNING,0,33,13,3,0.0,EngInf :  #Log to SD card  #Log to SD card ,DrvInf INFO: ok. <OK>,OFF,24000.0,-0.7084136475,0.0008713575,1
23086,2024-09-21T13:05:22,00:46:14,2577,log,4527,15,31219,0,92,116.165,-13.648,[7],RUN,0,0.009,1,3507.2,0.009,0,0,4.144,4.149,4.175,30.636,0,0,24.4,25.7,fwd,SPEED,DRIVER_RUNNING,0,33,13,3,0.0,EngInf :  #Log to SD card  #Log to SD card  #Log to SD card ,DrvInf INFO: ok. <OK>,OFF,27000.0,-1.3220545041666667,0.0008712375,1
